City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,Senanga,-16.1167,23.2667,302.3,21,100,4.17,ZM,2021-09-18 19:00:40
186,Honningsvag,70.9821,25.9704,280.01,65,0,7.72,NO,2021-09-18 19:00:40
187,Shenzhen,22.5455,114.0683,303.08,86,38,2.6,CN,2021-09-18 19:00:42
188,Aklavik,68.2191,-135.0107,279.55,81,100,2.58,CA,2021-09-18 19:00:43
189,Tessalit,20.1986,1.0114,309.32,9,10,0.47,ML,2021-09-18 19:00:44
190,Tuatapere,-46.1333,167.6833,278.61,92,100,3.31,NZ,2021-09-18 19:00:45
191,Hermanus,-34.4187,19.2345,288.09,73,98,3.65,ZA,2021-09-18 19:00:45
192,Homer,59.6425,-151.5483,284.69,82,4,1.34,US,2021-09-18 19:00:46
193,Lompoc,34.6391,-120.4579,295.94,71,4,0.45,US,2021-09-18 19:00:44
194,Mahajanga,-15.7167,46.3167,298.42,70,7,6.69,MG,2021-09-18 19:00:47
195,Kismayo,-0.3582,42.5454,298.06,85,20,6.68,SO,2021-09-18 19:00:48
196,Atbasar,51.8,68.3333,278.94,77,33,6.39,KZ,2021-09-18 19:00:49
197,General+Roca,-39.0333,-67.5833,293.06,22,86,2.04,AR,2021-09-18 19:00:50
198,Antofagasta,-23.65,-70.4,290.28,68,96,3.82,CL,2021-09-18 19:00:06
199,Karratha,-20.7377,116.8463,295.11,43,0,3.83,AU,2021-09-18 19:00:51
200,Dong+Hoi,17.4833,106.6,298.84,88,93,1.85,VN,2021-09-18 19:00:51
201,Kaitangata,-46.2817,169.8464,276.59,87,100,1.8,NZ,2021-09-18 19:00:52
202,Kahului,20.8947,-156.47,297.58,88,16,6.68,US,2021-09-18 19:00:53
203,Haines+Junction,60.7522,-137.5108,278.85,89,100,1.05,CA,2021-09-18 19:00:54
204,Fortuna,40.5982,-124.1573,291.13,72,40,0.89,US,2021-09-18 19:00:55
205,Mansa,29.9833,75.3833,299.9,69,5,3.17,IN,2021-09-18 19:00:56
206,Sabha,27.0377,14.4283,302.54,17,0,3.45,LY,2021-09-18 19:00:56
207,Smithers,54.7804,-127.1743,280.33,93,90,2.06,CA,2021-09-18 19:00:57
208,Petrovsk-Zabaykalskiy,51.273,108.843,280.94,90,17,1.3,RU,2021-09-18 19:00:58
209,Sao+Joao+Da+Barra,-21.6403,-41.0511,297.74,70,6,7.86,BR,2021-09-18 19:00:59
210,Sur,22.5667,59.5289,301.8,71,11,6.29,OM,2021-09-18 19:01:00
211,Agirish,61.9247,63.0231,274.04,97,100,6.25,RU,2021-09-18 19:01:00
212,Katherine,-14.4667,132.2667,292.33,59,11,3.09,AU,2021-09-18 19:01:01
213,Chuy,-33.6971,-53.4616,292.25,74,6,3.86,UY,2021-09-18 19:01:01
214,Lasa,46.6166,10.7002,291.1,85,20,0.23,IT,2021-09-18 19:01:02
215,Mayumba,-3.432,10.6554,297.19,85,100,3.78,GA,2021-09-18 19:01:03
216,Kimberley,-28.7323,24.7623,293.5,33,84,9.69,ZA,2021-09-18 19:01:04
217,Moundou,8.5667,16.0833,296.87,79,46,0.89,TD,2021-09-18 19:01:04
218,Belmonte,-15.8631,-38.8828,298.13,65,12,3.12,BR,2021-09-18 19:01:05
219,Sidhi,24.4167,81.8833,298.32,85,93,1.01,IN,2021-09-18 19:01:06
220,Arraial+Do+Cabo,-22.9661,-42.0278,295.46,89,13,5.72,BR,2021-09-18 19:01:06
221,Mahibadhoo,3.7833,72.9667,301.4,77,100,4.53,MV,2021-09-18 19:01:07
222,Iqaluit,63.7506,-68.5145,274.74,87,100,5.92,CA,2021-09-18 19:00:14
223,Adrar,20.5022,-10.0711,309.94,20,70,2.48,MR,2021-09-18 19:01:07
224,Moron,-34.6534,-58.6198,299.23,64,0,3.13,AR,2021-09-18 18:59:26
225,Hauterive,46.0901,3.4459,293.03,95,100,5.77,FR,2021-09-18 19:01:08
226,Kosh-Agach,50.0,88.6667,279.78,66,93,2.37,RU,2021-09-18 19:01:09
227,Boa+Vista,2.8197,-60.6733,306.14,46,75,3.09,BR,2021-09-18 19:01:09
228,George+Town,5.4112,100.3354,299.2,91,20,0.45,MY,2021-09-18 18:58:58
229,Georgetown,5.4112,100.3354,299.2,91,20,0.45,MY,2021-09-18 18:58:58
230,Iacu,-12.7672,-40.2117,305.94,21,3,3.02,BR,2021-09-18 19:01:10
231,Kalmunai,7.4167,81.8167,299.88,84,98,3.59,LK,2021-09-18 19:01:11
232,Bathsheba,13.2167,-59.5167,302.21,66,28,4.67,BB,2021-09-18 19:01:08
233,Port+Blair,11.6667,92.75,299.91,84,100,2.6,IN,2021-09-18 19:01:12
234,Dunedin,-45.8742,170.5036,280.26,78,100,1.79,NZ,2021-09-18 18:58:20
235,Portland,45.5234,-122.6762,290.31,93,90,0.89,US,2021-09-18 18:52:49
236,Serov,59.6033,60.5787,275.28,94,100,4.33,RU,2021-09-18 19:01:13
237,Tabas,33.5959,56.9244,302.79,8,0,1.49,IR,2021-09-18 19:01:13
238,Tenenkou,14.4572,-4.9169,306.74,35,11,1.84,ML,2021-09-18 19:01:14
239,Sonoita,31.85,-112.8333,307.33,39,7,5.63,MX,2021-09-18 19:01:15
240,Saint-Pierre,-21.3393,55.4781,293.97,87,90,4.12,RE,2021-09-18 19:01:16
241,Palmer,42.1584,-72.3287,301.66,63,30,0.89,US,2021-09-18 19:01:17
242,Khatanga,71.9667,102.5,270.72,74,0,5.74,RU,2021-09-18 19:01:17
243,Husavik,66.0449,-17.3389,282.1,74,100,9.37,IS,2021-09-18 18:57:14
244,Kargasok,59.0556,80.8572,276.93,93,17,4.9,RU,2021-09-18 19:01:18
245,Santa+Rosa,14.3122,121.1114,301.53,86,17,2.44,PH,2021-09-18 19:01:20
246,Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,283.14,67,0,5.86,RU,2021-09-18 19:01:21
247,Tra+Vinh,9.9347,106.3453,298.17,91,99,1.96,VN,2021-09-18 19:01:21
248,Tibu,8.639,-72.7358,308.7,40,10,1.74,CO,2021-09-18 19:01:22
249,Gorin,51.1983,136.6669,281.11,56,2,4.44,RU,2021-09-18 19:01:22
250,Mikhaylovka,50.06,43.2379,284.21,51,100,4.54,RU,2021-09-18 19:01:23
251,Baykit,61.67,96.37,282.87,98,98,1.75,RU,2021-09-18 19:01:23
252,High+Rock,26.6208,-78.2833,302.14,67,90,2.22,BS,2021-09-18 19:01:24
253,Miles+City,46.4083,-105.8406,306.77,8,0,7.5,US,2021-09-18 19:01:24
254,Tura,25.5198,90.2201,295.59,97,81,1.13,IN,2021-09-18 19:01:25
255,Henties+Bay,-22.116,14.2845,288.07,91,0,3.28,NA,2021-09-18 19:01:25
256,Narasapur,16.45,81.6667,299.55,84,100,1.82,IN,2021-09-18 19:01:26
257,Sioux+Lookout,50.1001,-91.917,292.03,35,100,5.03,CA,2021-09-18 19:01:27
