City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
83,Vilhena,-12.7406,-60.1458,296.57,72,48,1.77,BR,2021-09-16 23:46:48,scattered clouds
84,Sakaiminato,35.55,133.2333,299.14,73,75,3.09,JP,2021-09-16 23:53:06,light rain
85,Pangody,65.85,74.4859,276.54,92,96,7.11,RU,2021-09-16 23:53:06,overcast clouds
86,Bluff,-46.6,168.3333,280.82,52,81,5.75,NZ,2021-09-16 23:53:07,broken clouds
87,San+Patricio,28.017,-97.5169,306.38,57,98,5.16,US,2021-09-16 23:46:36,overcast clouds
88,Souillac,-20.5167,57.5167,294.36,94,75,1.54,MU,2021-09-16 23:47:05,broken clouds
89,Port+Blair,11.6667,92.75,298.79,85,90,3.15,IN,2021-09-16 23:51:29,overcast clouds
90,Reconquista,-29.15,-59.65,288.78,52,4,4.03,AR,2021-09-16 23:47:48,clear sky
91,Harper,4.375,-7.7169,298.18,87,94,4.12,LR,2021-09-16 23:50:29,light rain
92,Kavieng,-2.5744,150.7967,301.46,70,54,4.0,PG,2021-09-16 23:48:05,light rain
93,Eidsvag,62.7767,8.0668,285.51,81,100,2.0,NO,2021-09-16 23:53:09,overcast clouds
94,Kolpashevo,58.3131,82.9089,283.92,94,100,5.4,RU,2021-09-16 23:49:12,overcast clouds
95,Cabedelo,-6.9811,-34.8339,298.52,83,5,6.57,BR,2021-09-16 23:49:21,clear sky
96,Maniitsoq,65.4167,-52.9,276.12,56,98,2.34,GL,2021-09-16 23:48:14,overcast clouds
97,Kapaa,22.0752,-159.319,303.14,73,5,1.34,US,2021-09-16 23:53:10,light rain
98,Bethel,41.3712,-73.414,295.55,86,79,0.45,US,2021-09-16 23:47:20,broken clouds
99,Komsomolskiy,40.4272,71.7189,291.83,42,0,4.12,UZ,2021-09-16 23:47:46,clear sky
100,Iqaluit,63.7506,-68.5145,275.0,87,20,2.06,CA,2021-09-16 23:48:16,few clouds
101,Albany,42.6001,-73.9662,294.87,86,31,0.46,US,2021-09-16 23:45:39,scattered clouds
102,Minna,9.6139,6.5569,296.02,94,100,0.48,NG,2021-09-16 23:53:12,overcast clouds
103,Leningradskiy,69.3833,178.4167,272.47,76,93,3.3,RU,2021-09-16 23:49:07,overcast clouds
104,Sahuaripa,29.05,-109.2333,306.29,42,31,2.62,MX,2021-09-16 23:53:13,scattered clouds
105,Cidreira,-30.1811,-50.2056,288.6,68,84,6.76,BR,2021-09-16 23:44:39,broken clouds
106,Awbari,26.5921,12.7805,297.97,24,0,3.71,LY,2021-09-16 23:53:14,clear sky
107,Provideniya,64.3833,-173.3,277.21,65,75,4.0,RU,2021-09-16 23:47:02,broken clouds
108,Sao+Joao+Da+Barra,-21.6403,-41.0511,295.89,90,64,6.56,BR,2021-09-16 23:51:12,broken clouds
109,Ostrovnoy,68.0531,39.5131,278.75,86,82,5.0,RU,2021-09-16 23:53:14,broken clouds
110,Kita,13.0349,-9.4895,296.14,94,97,1.67,ML,2021-09-16 23:53:15,light rain
111,Shelburne,44.0787,-80.2041,292.59,78,10,3.15,CA,2021-09-16 23:49:21,clear sky
112,Kahului,20.8947,-156.47,306.16,52,40,11.32,US,2021-09-16 23:50:24,scattered clouds
113,Hofn,64.2539,-15.2082,284.16,98,100,6.02,IS,2021-09-16 23:49:27,light rain
114,Bengkulu,-3.8004,102.2655,297.51,86,15,1.7,ID,2021-09-16 23:53:17,few clouds
