City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
61,Camopi,GF,294.85,broken clouds,3.1655,-52.3158,
62,Candolim,IN,299.15,broken clouds,15.5181,73.7626,Resort Terra Paraiso
64,Mutsu,JP,292.33,overcast clouds,41.2894,141.2169,Mutsu Park Hotel
65,Sao+Filipe,CV,299.46,overcast clouds,14.8961,-24.4956,Hotel Xaguate
66,Puerto+Ayora,EC,292.9,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
68,Luang+Prabang,LA,296.64,overcast clouds,19.8856,102.1347,Villa Oasis
74,Ingham,US,297.25,clear sky,42.6,-84.3833,Sunset Mobile Home Park
81,Avarua,CK,297.18,broken clouds,-21.2078,-159.775,Paradise Inn
83,Vilhena,BR,296.57,scattered clouds,-12.7406,-60.1458,Hotel Mirage
84,Sakaiminato,JP,299.14,light rain,35.55,133.2333,味処・民宿 まつや
88,Souillac,MU,294.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
89,Port+Blair,IN,298.79,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
91,Harper,LR,298.18,light rain,4.375,-7.7169,Screensaver
95,Cabedelo,BR,298.52,clear sky,-6.9811,-34.8339,Hotel Pigalle
98,Bethel,US,295.55,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
99,Komsomolskiy,UZ,291.83,clear sky,40.4272,71.7189,Ikathouse
101,Albany,US,294.87,scattered clouds,42.6001,-73.9662,
102,Minna,NG,296.02,overcast clouds,9.6139,6.5569,Royal Park hotel & suites
106,Awbari,LY,297.97,clear sky,26.5921,12.7805,فندق أوباري
108,Sao+Joao+Da+Barra,BR,295.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
110,Kita,ML,296.14,light rain,13.0349,-9.4895,Hôtel Chat Rouge
111,Shelburne,CA,292.59,clear sky,44.0787,-80.2041,The Retreat at the Farm
114,Bengkulu,ID,297.51,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
116,Kismayo,SO,297.95,overcast clouds,-0.3582,42.5454,Agan-Hotel
128,Nouadhibou,MR,297.14,clear sky,20.931,-17.0347,El Medina
129,Adelaide,AU,296.4,clear sky,-34.9333,138.6,The Chancellor on Currie
131,Jamestown,US,294.95,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
133,Carutapera,BR,298.81,clear sky,-1.195,-46.02,Lidera
136,Mitsamiouli,KM,297.32,scattered clouds,-11.3847,43.2844,Foyer ADM
138,La+Macarena,CO,294.39,broken clouds,2.1837,-73.7849,Hotel Punto Verde
139,Caravelas,BR,295.65,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
140,Guerrero+Negro,MX,296.54,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
141,Lyantonde,UG,291.05,overcast clouds,-0.4031,31.1572,Pals Panache Splendors
142,Koutsouras,GR,297.43,clear sky,35.0339,25.9469,The White Houses
143,Beloha,MG,291.56,clear sky,-25.1667,45.05,
151,Shingu,JP,297.7,overcast clouds,33.7333,135.9833,Shingu UI Hotel
152,Nang+Rong,TH,298.38,overcast clouds,14.6377,102.7914,Ploy Resort - Nangrong
154,Palembang,ID,298.2,mist,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
156,Airai,TL,295.01,broken clouds,-8.9266,125.4092,Juvinal Martin
157,Port+Saint+Lucie,US,299.24,scattered clouds,27.2939,-80.3503,Best Western Port St. Lucie
